Name,Translation
aaditya,आदित्य
aarifa,आरिफा
abhishak,किशक
abishek,अबिशेक
ajab,अजम
ajaj,अजाज
ajim,अजीम
ajmer,अजमेर
akansh,आकांश
akbar,आबार
akram,आराम
akshita,अक्षिता
altab,आअल
ameen,अमीन
amjad,अमद
amreek,अम्र
amreeta,अमृता
anamika,अनिका
aniket,अनिका
animesh,अनिमेश
anishkaa,अनिष्का
ankala,अंकला
annish,अन्न
anshika,अिकिका
anshum,अंशुम
araddhna,आरधना
aradhya,अध्या
areen,अरीन
arif,आरिफ
arnub,अर्ण
arvinda,अरविंदा
arzoo,अर्प़
asharam,आशाराम
ashiqu,आशु
ashlam,आशाम
ashman,आश्मान
ashsish,आशिश
asruddin,अरिस
avantika,अवंतिका
avneet,अवनीत
babali,बबली
baban,बबन
babupuri,बबुरी
bachcha,चचा
balbiri,बलबीरी
banju,बूू
barham,बामम
beeti,बीती
bhagay,भगय
bhatia,भाता
bhola,भोला
bhoomi,भूध्मी
bhoop,भूप
binpal,बिन�ाल
bipin,बिं�ीन
bipnesh,बिं�ेश
bir,बीर
biraj,बिराज
birmati,बीरमी
bishan,बिसन
bivla,बाशा
bodu,बुसू
boduram,बिं�ोदराम
brajendra,बेंद्र
bram,बराम
bupal,बाल
chaman,चमन
chandesh,चानेश
chando,चोचंद
chandru,चंदू
chaubey,चटारी
chertamani,चटचानी
chhamo,छो
chiranjavi,विरवणी
chunni,चुन्नी
danveer,दर्शन
deba,दीबा
deendyal,दीनदीन
deep,दीप
deepender,दीपेन्द्र
deni,देनी
deva,देवा
deveshwari,देवदेवी
devi,देवी
devraj,देवराज
dhaney,धनी
dharambir,धर्मबीर
dharmveer,धर्मवीर
dhirender,धीरेन्द्र
dilip,दिलिल
dimpu,पिम्पु
dipeeka,दीपा
disi,दिसी
divakar,दिवकर
dular,दुलारर
dulari,दुलारी
dund,दुंद
durgashankar,दुर्गिशर
etahsaam,साहाह़
faraha,हाहहा
farha,ह�ा
fulo,फफूल
gaffur,गफाकुर
ganguly,गुड्डी
gappu,गप्पू
geetu,गीतू
ghan,घन
gobind,गो
gonsan,गोननोन
gulabsha,गुलशा
gulbasha,गुलशामा
gulfan,गुलफ़़ान
guluram,गुलुराम
gungun,गुंजन
gupta,ग्ता
gurmel,गुेलेल
gurubaksh,गुुबक्ष
gurucharan,गुरचरण
gyanu,ज्ञानू
hanni,हहानी
hanumanram,हनराम
hardam,हरदाम
harleen,हलीन
harmani,हरमनी
hasmita,हस्मिता
hem,हेम
himansi,हिमानी
ibrahim,इब्राहीम
ijhar,हिज
ikrar,इकिक
ilema,इलेमा
irsad,प्र�ादाद
ishtkar,तक्तार
israr,इसिस
jagriti,जगिति
jaiprakash,जयतेज
jamrujaha,जाहजा
jani,जनी
janid,जिद
jasvant,जस्वांत
jasveer,जावीर
jasvir,जसवीर
javal,जावल
jayalalithaa,हिचा
jeeya,ज्या
jhansi,ज्सानी
jitin,जितिन
jomiya,जोमिया
joya,जोया
jubed,जुबेद
juna,जुना
junl,जुन
jya,ज्या
kalip,कालीप
kamal,कमल
kamil,कमिल
kamini,कामिनी
kamrudeen,कामरुद्दीन
kapish,कपिश
karunakar,कराकर
kasturi,क्तकी
khalidur,खुर्�ुरुर
kheem,खीम
khetra,ख्रा
khusbu,खुशबू
khushabu,खुशबू
khushnudi,खुशबुशबी
khushnuma,खुमनुमा
kishore,किशोरे
kokila,कोका
koushik,कौकौर
krishka,कृषिष्का
kuldeel,कुलकुल
kumkum,कुमुम
kunden,केनेन
kusham,कुशाम
labbhi,भाती
laka,लाका
lakhamichand,लाखाख
laskshita,सकिता
lavkush,लावल
lilaram,लीलिल
lukman,लुकान
madharam,मैमाम
madhava,माधवा
madhuni,मधुनी
mahadevi,महादेवी
mahasingh,महिन
mahesh,महेश
mahipal,महिक
maisan,मिसान
mallika,मालिका
malti,माली
mamata,मामता
manan,मनन
mandan,मिस
manish,मनीष
manit,मनित
manku,मनु
manmath,मेघ
mansha,मनमा
manuja,मनमा
marjina,मिना
masoom,मासन
mayank,मंकंक
mayushi,मयुषी
megraaj,मेघश
mesak,माकर
methun,मेठ
mhosin,मोसीन
midhana,मिसा
mithu,मितू
mohanram,मोहन
moolchul,मूलुल
mukkesh,मुकेश
mula,मुला
muntiyaj,मुंतजाकम
muslim,मुसिमल
najmin,नाजिन
najre,रेे
najreen,नाजरीन
nanda,नंदा
nanka,नंका
narain,नराइन
narbahadur,हरबुर
naresh,नरेश
nargesh,नेशेश
naseema,नसीमा
nathuram,नरू
nausad,नौशाद
naveeja,नवा
navin,नवीन
naviya,नविया
nayaka,नाया
neeru,नू
neil,निले
nicharon,नोनन
nikky,नै्सी
niladri,नीलादी
nimahe,नीके
nirosha,नर्मोशा
nisat,निसत
nittin,नतिनन
noorjhan,नूरजन
nshima,नीमा
nuraish,नूरा
oli,अोली
omesh,ओमेश
omkar,ओंकार
panku,पंकू
pannu,पन्नू
papiya,पिया
papu,पापू
pardeep,परदीप
pargati,परतती
parniti,परीती
parul,पुल
phirdos,दोसर
pintu,पिंटू
pooga,पंचा
popatlal,पोपो
pphola,पोला
prabhat,प्रभात
prabhila,प्रभीला
prachi,प्रवि
pramjot,पोटराम
pramod,पोदोद
prayatan,प्रव्यान
prem,प्रेम
premchand,प्र�ेमेम
premo,प्रेमेम
prempal,प्रेमपाल
preyojit,पिं�िं�ितोज
pritee,प्रीती
pritika,प्रीतिका
priyanshu,प्रियांसु
puneeta,पुनीता
punkaj,प्क्क
pushkar,पुष्कर
puspa&,पुष्पपा
qadeem,क़दीम
radheyshyam,राधराधश्याम
raeeyan,रा�्यान
rafal,लरफल
ragini,रगिनी
raja,राजा
rajkarnta,राजकार्ता
rajput,राजुतराज
raksha,कै्षा
rambarose,रोसे
rambir,रामबीर
ramli,रामली
ramulu,रामुलु
rangeeta,चितीता
ranjita,रंजिता
rashma,रश्मा
ratn,रत्न
revakshi,रेवाक्षी
rihana,रिहाना
rini,रिंकी
rinka,रिंका
rony,रोनी
roshanlal,रोशनोश
ruji,रेणी
rukmani,रुक्मी
saalu,सू
saaniya,सानिया
saddam,सदाम
safiq,सफीक
sahaja,सहजा
sahajad,साहजाद
saheb,साहेब
sahenaj,साहबेन
sahun,साहन
sajni,सजनी
salauddin,सलीम
saleem,सलीम
sally,सली
saloni,सोनी
samarth,समार्थ
samim,समीम
samir,समीर
samiron,समिर
santna,संतना
sapana,सपना
sashi,साशी
sashikala,साइला
satrughan,सतां�न
satvik,सत्य
satyvrat,सत्य्व
sauni,सुनी
shabanm,शबाब
shadna,शादा
shahir,शाहिर
shahnaj,शाहनाज
shahruf,शाहफर
shakti,शक्ति
shakutal,शाकलाक
shamsher,शेरश
shan,शान
shanshak,शकांश
shelly,शल्यी
shi,शी
shimpi,शिम्पी
shivkumari,शिवी
shobhit,शोभित
shreemati,श्रीमती
shsi,शी
shyama,श्यामा
shyamvati,श्यामवती
shymo,श्यो
siddharth,सिद्धार्थ
simpi,सिम्पी
sirajuddin,सिराज
sivani,सिवारी
siya,सिया
smriti,श्रि
soban,सोबन
somprakash,ओमप्रकाश
sony,सोनी
sourav,सोरव
spna,सपना
stephen,स्टेंट
sufiya,सुकिया
sugandha,सुहा
sukhavinder,सुखविन्दर
sukhpreeet,सुख्रियेम
sunny,सुनी
tabbasum,तब्बास
tajinder,ताजिंदर
talwar,तिरल
tamana,ताना
tamanna,वन्नन्ना
tanish,तन
tanuj,तनुज
tanushri,तनुश्री
taramati,तती
tarnnum,तार्नुम
teena,तीना
tikku,तेपु
tilak,तकिल
tina,तिना
tinku,टिंकू
tofik,तफिक
upender,उपेंद्र
vahab,अमनब
vajid,विद
vandhna,वंधना
varda,वदा
vasa,वासा
vashanavi,व्ववि
verendra,वेरेंद्र
veshali,वालेशी
vijay,विजय
viney,विनी
vipta,विपा
vrendra,वेंद्र
waghal,व�ल
yasin,यिन
yesh,येश
