Name,Translation
aaditya,आदित्य
aarifa,आरिफा
abhishak,अभिश
abishek,अबिशेक
ajab,अब्ब
ajaj,अजाज
ajim,अजीम
ajmer,अजमेर
akansh,आकांश
akbar,आकाम
akram,आरत
akshita,अंजिता
altab,अलाउद
ameen,अमीन
amjad,अमजाद
amreek,अमर
amreeta,अमरा
anamika,आनमिका
aniket,अनिका
animesh,अनिमेश
anishkaa,अन्कन्या
ankala,अंकाला
annish,अन्न
anshika,अंजिका
anshum,अंशन
araddhna,आरधना
aradhya,आर्प्य
areen,अीन
arif,आरिफ
arnub,अर्णर्ण
arvinda,अरविंदा
arzoo,अर्चित
asharam,आशो
ashiqu,अंशु
ashlam,आशलक
ashman,आशरमान
ashsish,आशीश
asruddin,आसरुद्दीन
avantika,अंतिका
avneet,अवनीत
babali,बबली
baban,बबन
babupuri,बबुरुरी
bachcha,चेएा
balbiri,बलबीरी
banju,बुधू
barham,नमम
beeti,बीति
bhagay,यय
bhatia,भाता
bhola,भोला
bhoomi,भूधी
bhoop,भूप
binpal,बिनपाल
bipin,बिनीन
bipnesh,बिंटन
bir,बीर�बीर
biraj,बिराज
birmati,बिरमती
bishan,बिसन
bivla,बकीलला
bodu,बद्रित
boduram,बुधेश
brajendra,ब्र�ेक
bram,बराम
bupal,बृल
chaman,चमन
chandesh,चैच
chando,चंदो
chandru,चंदू
chaubey,चैती
chertamani,चेड्डी
chhamo,छोम
chiranjavi,चिरा�वि
chunni,चुन्नी
danveer,दवीरवीर
deba,देया
deendyal,दीनदेय
deep,दीप
deepender,दीपेन्द्र
deni,देनी
deva,देवा
deveshwari,देवकी
devi,देवी
devraj,देवराज
dhaney,धनी
dharambir,धर्मबीर
dharmveer,धर्मवीर
dhirender,धीरेंद्र
dilip,दिल
dimpu,डिम्पू
dipeeka,दीपीना
disi,दिसी
divakar,दिव्य
dular,दुलार
dulari,दुलारारी
dund,दशी
durgashankar,दुर्गाशश
etahsaam,हाहाहाह
faraha,फ़हा
farha,फ़ा�ा
fulo,फूलो
gaffur,गफ्फ़ार
ganguly,गणी
gappu,गीतू
geetu,गीतू
ghan,घन
gobind,गरविंद
gonsan,गोनन
gulabsha,गुलशबा
gulbasha,गुलशशा
gulfan,गुलफ़न
guluram,गुलपुल
gungun,गुनत्रुन
gupta,गण्ता
gurmel,अभलकेल
gurubaksh,गुरुप्रीत
gurucharan,गुरुवरनरण
gyanu,ज्ञानू
hanni,हननी
hanumanram,हनुमान
hardam,हरद
harleen,हरवीन
harmani,हरमणी
hasmita,हसीनिता
hem,हेम
himansi,हिमांसी
ibrahim,इब्राहीम
ijhar,हरिज
ikrar,इकराम
ilema,इलिला
irsad,इिराद
ishtkar,ईश्तकर
israr,इस्ल
jagriti,जगरूति
jaiprakash,जयकेश
jamrujaha,जगपूजा
jani,जनी
janid,जनिद
jasvant,जसवंत
jasveer,जसवीर
jasvir,जसवीर
javal,जावल
jayalalithaa,जयेठालाल
jeeya,ज्या
jhansi,जह्सी
jitin,जीतिन
jomiya,जोमिया
joya,जोया
jubed,जुबेद
juna,जुना
junl,जुनेब
jya,ज्या
kalip,कल्ल
kamal,कमल
kamil,कमिल
kamini,कोमी
kamrudeen,कामरुद्दीन
kapish,कपीश
karunakar,करोाकर
kasturi,कस्तूरी
khalidur,खालिदाल
kheem,खीम
khetra,खुश्रा
khusbu,खुशबू
khushabu,खुशबू
khushnudi,खुशबुशी
khushnuma,खुशबुमा
kishore,किशोरे
kokila,कर्मिला
koushik,कोुम
krishka,कृषा
kuldeel,कुल्पुल
kumkum,कुमुम
kunden,कुंदेन
kusham,कुशम
labbhi,भारती
laka,लाका
lakhamichand,लाख्मित
laskshita,ल्किला
lavkush,लवाक
lilaram,लीलिल
lukman,लुक्षान
madharam,मैडम
madhava,माधवा
madhuni,मधुनी
mahadevi,महादेवी
mahasingh,महिबन
mahesh,महेश
mahipal,महादाल
maisan,माइन
mallika,मल्लिका
malti,मालती
mamata,मामता
manan,मनन
mandan,मंड
manish,मनीष
manit,मनित
manku,मंजू
manmath,मनप्रीत
mansha,मना
manuja,मनीषा
marjina,मैिना
masoom,मोमम
mayank,मायज
mayushi,मयुषी
megraaj,मेघनाथ
mesak,माकीर
methun,मुनेठ
mhosin,मोमिनीन
midhana,मजीदा
mithu,मितू
mohanram,रामराम
moolchul,मूलूल
mukkesh,मुकेश
mula,मुला
muntiyaj,मुंतजिय
muslim,मुसलिमा
najmin,नाजिनून
najre,नाजीर
najreen,नाजरीन
nanda,नंदा
nanka,नंका
narain,नराइन
narbahadur,नरहादुर
naresh,नरेश
nargesh,नरगेश
naseema,नसीमा
nathuram,नाथूराम
nausad,नौशाद
naveeja,नवीदा
navin,नवीन
naviya,नविया
nayaka,नाया
neeru,नीरू
neil,नील
nicharon,नूर्ति
nikky,निकी
niladri,नीलाद्री
nimahe,नेेे
nirosha,निर्मा
nisat,निस्राम
nittin,नितिनित
noorjhan,नूरजहाँ
nshima,निमीमा
nuraish,निष्चंद
oli,अोली
omesh,ओमेश
omkar,ओंकार
panku,पंकू
pannu,पन्नू
papiya,पापिया
papu,पापू
pardeep,परदीप
pargati,परतति
parniti,परीति
parul,पुल
phirdos,फाख़ुर
pintu,पिंटू
pooga,पूजा
popatlal,पोपति
pphola,प्रमोला
prabhat,प्रभात
prabhila,प्रभिला
prachi,प्रगनी
pramjot,प्यारत
pramod,प्रमिक
prayatan,प्रशानत
prem,प्रेम
premchand,प्रेमचंद
premo,प्रेमो
prempal,प्रेमपाल
preyojit,प्रिंजित
pritee,प्रीती
pritika,प्रीतिका
priyanshu,प्रियांसु
puneeta,पुनीता
punkaj,परक्क
pushkar,पुषुष
puspa&,पुष्पप
qadeem,क़दीम
radheyshyam,राधेय्याम
raeeyan,राईन
rafal,इल
ragini,रगिनी
raja,राजा
rajkarnta,राजकारंत
rajput,राजपुत
raksha,राखशा
rambarose,अजमुरे
rambir,रामबीर
ramli,रामली
ramulu,रामजनू
rangeeta,अंजीता
ranjita,रंजिता
rashma,रश्मा
ratn,रत्न
revakshi,रेवंगी
rihana,रिहाना
rini,रिनी
rinka,रिना
rony,रोनी
roshanlal,रोशन्त
ruji,रिधि
rukmani,रुकमणि
saalu,सज्जू
saaniya,सानिया
saddam,सद्धाम
safiq,सफीक
sahaja,सहजा
sahajad,साहजाद
saheb,साहब
sahenaj,साहिबेन
sahun,साहुन
sajni,साइी
salauddin,सलाउद
saleem,सलीम
sally,सल्वी
saloni,सोनली
samarth,समीक्ष
samim,समीम
samir,समिर
samiron,समिरि
santna,संतना
sapana,सपना
sashi,साशी
sashikala,साइला
satrughan,सतुगन
satvik,सत्वार
satyvrat,सत्यवत
sauni,साइसी
shabanm,शबनम
shadna,शादशादा
shahir,शाहिर
shahnaj,शाहनाज
shahruf,शाहगो
shakti,शाक्ती
shakutal,शाकल्त
shamsher,शमशर
shan,शान
shanshak,शकांश
shelly,शेलली
shi,शी
shimpi,शिम्पी
shivkumari,शिवां�ि
shobhit,शोभाराम
shreemati,श्रीमती
shsi,शसी
shyama,श्यामा
shyamvati,आन्नती
shymo,श्यो
siddharth,सिद्धार्थ
simpi,सिम्पी
sirajuddin,सुसुद्दीन
sivani,शिवी
siya,सिया
smriti,स्मृति
soban,सोबान
somprakash,सोमेश
sony,सोनी
sourav,सोरव
spna,स्पना
stephen,सें�ेंट
sufiya,सुफियिया
sugandha,सुधाता
sukhavinder,सुखविन्दर
sukhpreeet,सुखबुधी
sunny,सुनी
tabbasum,तब्बसुम
tajinder,ताजिंदर
talwar,तालल
tamana,तमना
tamanna,तन्न्ना
tanish,तन
tanuj,तनुज
tanushri,तनुश्री
taramati,तुलती
tarnnum,तार्नुम
teena,तीना
tikku,तेपु
tilak,तिलक
tina,तिना
tinku,टिंकू
tofik,तौफिक
upender,उपेंद्र
vahab,वैरब
vajid,वर्ष
vandhna,वंधना
varda,वदा
vasa,वसा
vashanavi,वांदशी
verendra,विरेंद्र
veshali,वेसाली
vijay,विजय
viney,विनी
vipta,विप्ता
vrendra,रुचेंद्र
waghal,वाघाल
yasin,यासिन
yesh,येश
